original_sentence,dyslexic_sentence,error_type,correct_audio_path,dyslexic_audio_path
එය සමන්විත වී ඇත්තේ,එය සමන්විත වීඇ ත්තේ,reversal,asr_sinhala/data/c0/c0abd2e061.flac,dyslexic_audio_files/train_0.flac
බෙර වාදනය ඉතා සියුම්ව හැදෑරිය යුතු කලාවකි.,බෙල වාදනය ඉතා ශියුම්ව හැදෑරිය යුතු තලාවකි.,substitution,asr_sinhala/data/ec/ecf99c507a.flac,dyslexic_audio_files/train_1.flac
අනික දයාසිරියමොන උනත්,අනික දයාසිලියමොන උනත්,substitution,asr_sinhala/data/c5/c509b721ee.flac,dyslexic_audio_files/train_2.flac
පුංචි කාලේ ලවක් එක්ක බැඳිලා,බුංචි කාලේ ලවක් එත්ක බැඳිලා,substitution,asr_sinhala/data/95/952b89698c.flac,dyslexic_audio_files/train_3.flac
මේ නොනවතින අරගලයේ දී,මේ නොනවතින අලගලයේ දී,substitution,asr_sinhala/data/7e/7e7cef0a96.flac,dyslexic_audio_files/train_4.flac
එක්සත් ජාතික පක්ෂයට ලැබී ඇත්තේ,එක්සත් ජාතික පක්යෂට ලැබී ඇත්තේ,reversal,asr_sinhala/data/5a/5a8c461102.flac,dyslexic_audio_files/train_5.flac
තනිකරම විදර්ශනාව විතරක් වඩපු,තනිකරම විදල්ශනාව විතරත් වඩපු,substitution,asr_sinhala/data/7e/7e30e09bf8.flac,dyslexic_audio_files/train_6.flac
උණුසුම් සුබ පැතුම්. ජයමවේවා.,උණුසුම් සුබ පැතුම්. ජයමවේාව.,reversal,asr_sinhala/data/be/be0dd8c0ad.flac,dyslexic_audio_files/train_7.flac
ඒත් අපේ ගෙදර,ඒත් අබේ දෙදල,substitution,asr_sinhala/data/98/9817de33e3.flac,dyslexic_audio_files/train_8.flac
ගල උඩට වැටුනොත්,ගල උඩට වැුනොත්,omission,asr_sinhala/data/25/25e317ce7f.flac,dyslexic_audio_files/train_9.flac
තමන්ගෙ කොටසත් අරන් යන්න හදනව.,තමන්දෙ කොඩසත් අලන් යන්න හදනව.,substitution,asr_sinhala/data/c5/c5ad6f6c88.flac,dyslexic_audio_files/train_10.flac
දැයේ දූපුතුන්ට කියාදීම පමණි.,දැයේ දූපුුන්ට කියාදීම පමණි.,omission,asr_sinhala/data/a6/a6294b08dc.flac,dyslexic_audio_files/train_11.flac
ආණ්ඩුව අලුත් ගැසට් තුනක් මගින්,ආණ්ඩුව අලුත් ගැසට තුනක් මගින්,omission,asr_sinhala/data/31/31973c1a28.flac,dyslexic_audio_files/train_12.flac
සිතැඟි පරිදී ඉරාකය ආක්‍රමණය කළේය,සිතැඟි පරිදී ඉරාකය ආක්‍රමණය කළය,omission,asr_sinhala/data/7b/7bcb902837.flac,dyslexic_audio_files/train_13.flac
health ministry,health mnistry,omission,asr_sinhala/data/fe/fe5d1c132f.flac,dyslexic_audio_files/train_14.flac
පෙර අපර දෙදිගම විසූ බොහෝ චින්තකයෝ,බෙර අපර දෙදිගම විශූ බොහෝ ජින්තකයෝ,substitution,asr_sinhala/data/7e/7eeac49ac2.flac,dyslexic_audio_files/train_15.flac
අනාවැකි කිහිපයක්,අනාැවකි කිහිපයක්,reversal,asr_sinhala/data/08/088fcd6862.flac,dyslexic_audio_files/train_16.flac
ඇගේ තිබුණු දක්ෂතාවය කීවොත් නිවැරදියි.,ඇගේ තිබුණු දත්ෂතාවය කීවොත් නිවැරදියි.,substitution,asr_sinhala/data/4d/4d325085f2.flac,dyslexic_audio_files/train_17.flac
උන්වහන්සේගේ පිරිසිදු දහම තුළ තිබෙන්නේ,උන්වහන්සේගේ පිරිශිදු දහම තුළ තිබෙන්නේ,substitution,asr_sinhala/data/5b/5b6a4e8b23.flac,dyslexic_audio_files/train_18.flac
මොකද හොඳ අනුග්‍රාහකයෙක් ලැබෙනවා,මොකද හොඳ අනගු්‍රාහකයෙක් ලැබෙනවා,reversal,asr_sinhala/data/e4/e4b0348be2.flac,dyslexic_audio_files/train_19.flac
යම් සමාගමක් යම් චිත්‍රපටයක් කරලා නොමිලේ බෙදා හරිනවා,මය් සමාගමක් යම් චිත්‍රපටයක් කරලා නොමිලේ බෙදා හරිනවා,reversal,asr_sinhala/data/61/61cdcc8477.flac,dyslexic_audio_files/train_20.flac
කලාපීය බලතුලන‍ය තමන්ට අවැසි ලෙස භාවිතා කිරීමට,කලාපීය බලතුලන‍ය තමන්ට අවැිස ලෙස භාවිතා කිරීමට,reversal,asr_sinhala/data/5a/5a5a7f270e.flac,dyslexic_audio_files/train_21.flac
රඟ දක්වන්න පෝල්,රඟදක්වන්න පෝල්,omission,asr_sinhala/data/64/64015105e0.flac,dyslexic_audio_files/train_22.flac
ඇගේ අටපිරිකර පූජාව,ගඇේ අටපිරිකර පූජාව,reversal,asr_sinhala/data/9a/9a1557c2d2.flac,dyslexic_audio_files/train_23.flac
හිටපු ලොක්කාගේ කොන්ත්‍රාත්තුවක් මත,හිටපු ලොක්කාගේ කොන්ඉත්‍රාත්තුවක් මත,insertion,asr_sinhala/data/70/70cdb421f5.flac,dyslexic_audio_files/train_24.flac
ඔයා කරන දේ කරන්නකෝ කියලා,ඔයා රන දේ කරන්නකෝ කියලා,omission,asr_sinhala/data/9b/9b46aab1d8.flac,dyslexic_audio_files/train_25.flac
එතරම් අදාල නොවේ,එරතම් අදාල නොවේ,reversal,asr_sinhala/data/3c/3c34a8c3ea.flac,dyslexic_audio_files/train_26.flac
ඇතැම් බලපත්‍ර හිමියන්ට දඩ නියම කළ විට දඩ නොගෙවා සිටියි.,ඇතැම් බලපත්‍ර හිමිය්නට දඩ නියම කළ විට දඩ නොගෙවා සිටියි.,reversal,asr_sinhala/data/af/af77bd42a6.flac,dyslexic_audio_files/train_27.flac
අම්මට කියලා පෑන්කේක් හදාගෙන ආවා,අම්මට කියලා පෑන්තේක් හදාගෙන ආවා,substitution,asr_sinhala/data/af/afdd160b12.flac,dyslexic_audio_files/train_28.flac
ළඟට ගියොත් බැරි වෙයිද,ලඟට දියොත් බැරි වෙයිද,substitution,asr_sinhala/data/af/afd0904c58.flac,dyslexic_audio_files/train_29.flac
මොකවත් කරන්න එපා රත්තරනේ,මොකවත් කරන්න එපා රතත්රනේ,reversal,asr_sinhala/data/71/71ca34155f.flac,dyslexic_audio_files/train_30.flac
ඕනෑම කෙනෙකුට වඩන්නට පුලුවන.,නඕෑම කෙනෙකුට වඩන්නට පුලුවන.,reversal,asr_sinhala/data/68/68c01b32d3.flac,dyslexic_audio_files/train_31.flac
ජීවිතයෙන් තොර කරන්නේ නම්,ජීවිතයෙන් තොල කලන්නේ නම්,substitution,asr_sinhala/data/5c/5c7c493036.flac,dyslexic_audio_files/train_32.flac
සම්පූර්ණ සතුටක්,සම්පූර්ණ සුතටක්,reversal,asr_sinhala/data/52/52fb974daa.flac,dyslexic_audio_files/train_33.flac
කිඹුලපිටියේ විමලානන්ද හිමි විසිනි.,තිඹුලපිටියේ විමලානන්ද හිමි විශිනි.,substitution,asr_sinhala/data/d8/d863d6ed3b.flac,dyslexic_audio_files/train_34.flac
ඉතින් යාලුවනේ හුඟ දෙනෙක්ගේ ඉල්ලීම නිසාචිත්‍රපටි මාලාවේ ඉතුරු චිත්‍රපටි වලටත් සබ් දෙන්න තීරණය කළා.,ඉතින් යාලුවනේ හුඟ දෙනෙත්දේ ඉල්ලීම නිසාචිත්‍රපටි මාලාවේ ඉතුරු ජිත්‍ලබටි වලටත් සබ් දෙන්න තීරණය කළා.,substitution,asr_sinhala/data/e0/e038000bd6.flac,dyslexic_audio_files/train_35.flac
අද අපේ රටේ පෙරපාසල් අධ්‍යාපනයත් විනාශවෙලා තිබෙනවා,අද අපේ රටේ පෙරපාසල් අධ්‍යාපනයත් විාශවෙලා තිබෙනවා,omission,asr_sinhala/data/d3/d350d5ba5d.flac,dyslexic_audio_files/train_36.flac
