clean_sentence,dyslexic_sentence,error_type
වලිකුකුළා කෑගහනවා.,වලිකුකුළා කෑගහනව,Grammar
අම්මා කෑම දෙනවා,අම්මා කෑම දනවා,Phonetic Confusion
"{""correction"": ""අපි ගමට යනවා"", ""analysis"": [{""word"": ""යනව"", ""error_type"": ""grammar"", ""correction"": ""යනවා"", ""reason"": ""Incomplete verb form. Needs correct ending.""}, {""word"": ""ගමට"", ""error_type"": ""word_order"", ""correction"": ""ගමට"", ""reason"": ""The word order is wrong.""},]}",අපි යනව ගමට,unknown
එයා එනකන් ඉඩපන්,එයා එනකන් ඉඩපන්,unknown
රුපියල් දෙදාහක් තියෙනවා,රුපියල් දෙදාහක් තියනව,Spoken vs Written
ගාල්ලට යන්න ඕනෙ,ගාල්ලට යන්න ඕනෙඩ,visual reversal
පැන දෙන්න,පැන ඩෙන්න,phonetic
කළ දුරකථනය දෙනවා.,කළ දුරකථනය ඩෙනවා,visual_reversal
උදේට කෑම කනවද,උදේට කෑම කනවද,unknown
පන්ති යන්න ඕනෙද,පන්ති යන්න ඔනෙඩ,ඔනෙඩ -> ඕනෙද
ගානවා,ගානව,Spoken vs Written
පණ්ඩිතයා කතා කරනවා,පන්ඩිතය කතා කරනව,Phonetic Confusion
අක්කා මට බනිනවා.,අක්කා මට බනිනවා.,no_error
කන්න ටිකක් දෙන්නකෝ,කන්න ටික්ක දෙන්නකො,grammar
මම පාසැලට යන්න බැහැ.,මම පාසැලට යන්න ඩැහැ.,Phonetic Confusion
ගෙදර ඉන්නවාද,ගෙදර ඉන්නවාඩ,Grammar
පුටුව උඩ නැඟලා බැලුවා.,පුටුව උඩ නැගල බැලුව,Spelling
පළම් කපන්න,පලම් කපන්න,phonetic_confusion
කඩේට යන්න ළඟයි.,කඩෙට යන්න ලඔයි,Phonetic (L/L)
මම ඒගොල්ලන්ට කතා කරන්න ඕනේ.,මම ඒගොල්ලන්ට කතා කරන්න ඕනේ.,no_error
මම පල්ලි යනවා,මම පල්ලි යනව,grammar
ගමේ පන්සල ළඟ ලොකු නුග ගහක් තියෙනවා.,ගමේ පන්සල ලග ලොකු නුග ගහක් තියෙනව.,grammar
අපි සිනමා බලන්න ගියා,අපි සිනමා බලන්න ගියා,no_error
ගොඩක් දුර ඉඳලා ආවා,ගොඩක් දුර ඉදල ආව,spoken vs written
එයා ගියා සින්දු කියන්න.,එයා ගියා සින්දු කියන්න,unknown
පොත් පත කියවන එක හොඳයි.,පතපොත කියවන එක හොදයි.,visual_scrambling
මම පාසැලට ගියේ බයිසිකලයෙන් ය.,මම පාසැලට ගියේ බයිසිකලේන් ය.,grammar
අම්මා මට බත් එක දුන්නා.,අම්ම මට බත් එක දුන්න.,Grammar
බය්ල බකට් එක පුරවල තියෙනවා.,ඩයල බකට් එක පුරවල තියෙඩව.,visual_reversal
නංගී පින්තූර ඇන්දා.,නංගී පින්තූර ඇන්ඳ,Spelling
එයාට කතා කරන්න.,එයාට කතා කරන්න.,no_error
ඔයා කොහොමද ඉඳෙන්නේ,ඔයා කොහොමද ඉඩෙන්නේ,visual_reversal
ඔයා කොහෙද යන්නේ?,ඔයා කොහෙඩද යන්නෙ?,unknown
තැටියට කෑම බෙදන්න,පතට කෑම බෙදන්න,ප/ත confusion
කුරුල්ලෝ අහසේ පියාඹනවා.,කූරුල්ලෝ අහසෙ පියාඹනවා,Phonetic (K/KU)
රෝහලට ගියා.,රොහලට ගියා.,phonetic_confusion
බල්ලා වත්තේ බුරනවා.,බල්ලා වත්තේ බුරනවා.,no_error
අනිද්දා මාත් එනවා.,අනිද්දා මාත් එනවා.,no_error
මට බඩගිනියි.,මට බඬගිනියි.,visual
එයා බඩුවක් ගත්තා.,එයා බඩුවක් ගත්ත,Spelling
අම්මා කතා කරනවා,අම්මා කතා කඩනවා,Phonetic Confusion
ගොඩනැගිල්ල හොඳයි,ගොඩනැගිල්ල හොඳයි,no_error
කෑම කන්න වෙලාව ආවා.,කෑම කන්න වෙලාව ආවා.,no_error
කෝපි කෝප්පයක් බිව්වා,කෝපි කපපු බිවා,contextual
අද ගොඩක් වහිනවා.,අද ගොඩාක් වහිනවා,Phonetic
ඇඟේ ලෙඩක්,ඇගෙ ලෙඩක්,ඇගෙ/ඇඟේ
අද මම බත් කනකොට පණුවෙක් දැක්කා.,අද මම බත් කනකොට පනුවෙක් දැක්කා.,phonetic confusion
උදෑසන,උදෑසන,no_error
ඔෆිස් එකට යනවා,ඔෆිස් එකට යනව,grammar
පළවෙනි පාරට මම බයවුණා,පලවෙනි පාරට මම බයවුනා,phonetic
ආච්චි බණ අහනවා.,ආච්චි බණ අහනවා.,no_error
පොඩි බබා එනවා,පොඩිබබ එනව,Visual Scrambling
මට බය හිතෙනවා,මට බය හිතෙනවා,no_error
පඩංගුව,පඩංගුව,unknown
අම්මාට කතා කරලා එන්නම්,අම්මට කතාකරල එන්නම්,grammar
පොලිසියට යනවා ඩබල මට බයයි.,පොලිසියට යනවා බඩල මට බයයි.,Phonetic Confusion
මට බඩගිනියි,මට ඩඩගිනි,Visual Reversal
දුර තියෙනවා,දුර තියනව,unknown
පොඩි බල්ලා ගෙට වැටුණා,පොඩි බල්ලා ගෙට වැටුණා,no_error
අම්මා කඩේ යනවා,අම්මා කඩෙ යනව,grammar
සිකුරාදා ඉස්කෝලේ යන්නේ නෑ.,සිකුරාදා ඉස්කෝලෙ ියන්නෑ,Spoken vs Written
අපි හැමදාම පන්සලට යනවා.,අපි හැමදාම පන්සලට යනවා.,unknown
මට ලොකු හීනයක් තියෙනවා.,මට ලොකු හීනයක් තියෙනවා.,no_error
ගංගා නදිය ලංකාවේ දිශාවට ගලාගෙන යයි,ගන්ගා නදිය ලන්කාවෙ දිශාවට ගලාගෙන යයි,Phonetic Confusion
කමතහන කියවන්න.,කමටහන කියවන්න.,ට/ත
පණ්ඩිතයා කතාව කිව්වා,පණ්ඩිතයා කතාව කිව්වා,no_error
මට කනිකන්ඩ යන්න ඕනෙ.,මට ගනිකන්ඩ යන්න ඔනෙ.,Visual Scrambling
අපි සෙල්ලම් කරමු.,අපි සෙල්ලම් කරමු.,no_error
පූඩා,පූඩෑ,phonetic_confusion
කඩේට ගියාම බනිස් ගේන්න.,කඩේට ගියම බනිස් ගෙනෙන්න.,unknown
පිනසේ,පිනසෙ,visual scrambling
පුතාලයා කොහෙද යන්නේ?,පුතලයා කොහෙඩ යනවද?,Grammar
පන්තියට වෙලාවට යන්න ඕනේ.,පන්තියට වෙලාවට යන්න ඕනේ.,no_error
මම පාසැලට යනවා දවස්.,මම පාසැලට යනවා දවස්.,no_error
කතාව කියන්න,කතව කියන්න,spelling
මම තමයි එතනට ගියේ.,මං තමි එතනට ගියේ,Phonetic (M/N)
මල්ලි ඉස්කෝලේ ඇරිලා ටීවී බලනවා.,මල්ලි ටිවි බලනව ඉස්කෝලෙ ඇරිල.,visual_scrambling
පන්සලට යන්න.,පන්සලට පලයන්.,grammar
දුරකථනය නාද වෙනවා.,දුරකතනෙ නාද වෙනව,Spoken vs Written
සින්දු අහනවා මම.,සින්දු අහනව මන්,Grammar
මං ඒක දැක්කා,මං ඒක දැක්ක,Grammar
පළවෙනි පාරට මම ලන්ඩනයට ගියා,පළවෙනි පාරට මම ලන්ඩනයට ගියා,no_error
ගමේ අය එකතු වුනා,ගමෙ අය එකතු වුනා,grammar
බල්ලා වලිගය වනනවා,බල්ලා වලිගය වැනවනව,unknown
මම හෙට පාසලට යනවා.,මම හෙට පාසලට යනව.,Grammar
පළවෙනි පන්තියේ පොත් ගෙනාවා,පළවෙනි පන්තියේ පොත් ගෙනාවා,no_error
ටික දවසකින් එන්නම්,ටික දවසකින් එන්නම්,unknown
